title|overview|genres_|keywords_
The Tale of Despereaux|Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.|Adventure_Animation_Family|loyalty_totalitarian regime_mouse_forgiveness_honor_unlikely friendship_courage_chivalry_animal lead
The Tuxedo|Cabbie-turned-chauffeur Jimmy Tong learns there is really only one rule when you work for playboy millionaire Clark Devlin : Never touch Devlin's prized tuxedo. But when Devlin is temporarily put out of commission in an explosive accident, Jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. Paired with a partner as inexperienced as he is, Jimmy becomes an unwitting secret agent.|Thriller_Action_Comedy_Science Fiction|bomb_intelligence_chauffeur_wound_secret agent_head injury
Under Siege 2: Dark Territory|A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.|Action_Thriller|terrorist_pentagon_satellite_navy seal_train
Jack Ryan: Shadow Recruit|Jack Ryan, as a young covert CIA analyst, uncovers a Russian plot to crash the U.S. economy with a terrorist attack.|Action_Drama_Thriller|london england_corruption_cia_terrorist_sniper_explosive_intelligence_russia_murder_conspiracy_surveillance_agent_jack ryan_u.s. marine_rehab_analyst
Joy|A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.|Drama_Comedy|factory_inventor_strong woman_biography_based on true story_stolen patent
London Has Fallen|In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.|Action_Crime_Thriller|london england_terrorist_terrorist attack
Alien: Resurrection|Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.|Science Fiction_Horror_Action|android_mercenary_dystopia_sequel_alien_betrayal_impalement_cloning_scientist_flamethrower_disembowelment_smuggler_gene manipulation_man in wheelchair_breeding_genetic engineering_regeneration_xenomorph_alien queen_explosive decompression_swimming underwater
Shooter|A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.|Action_Drama_Mystery_Thriller_Crime|corruption_sniper_senator_conspiracy of murder_childlessness_rifle_sniper rifle_fbi agent
The Boxtrolls|An orphaned boy raised by underground creatures called Boxtrolls comes up from the sewers and out of his box to save his family and the town from the evil exterminator, Archibald Snatcher.|Animation_Comedy_Family_Fantasy|based on novel_stop motion_father daughter relationship_unlikely friendship_duringcreditsstinger
Practical Magic|Sally and Gillian Owens, born into a magical family, have mostly avoided witchcraft themselves. But when Gillian's vicious boyfriend, Jimmy Angelov, dies unexpectedly, the Owens sisters give themselves a crash course in hard magic. With policeman Gary Hallet growing suspicious, the girls struggle to resurrect Angelov -- and unwittingly inject his corpse with an evil spirit that threatens to end their family line.|Drama_Fantasy_Comedy|witch_magic_sorcery_love_curse_family curse
The Lego Movie|An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from gluing the universe together.|Adventure_Animation_Comedy_Family_Fantasy|father son relationship_creativity_friendship_part live action_toys_based on toy_falling in love_super powers_duringcreditsstinger_different worlds_lego_batman
Miss Congeniality 2: Armed and Fabulous|"After her triumph at the Miss United States pageant, FBI agent Gracie Hart becomes an overnight sensation -- and the new ""face of the FBI."" But it's time to spring into action again when the pageant's winner, Cheryl, and emcee, Stan, are abducted."|Action_Comedy|ransom_press conference_ship_miss america_fbi agent
Reign of Fire|In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.|Adventure_Action_Fantasy|dragon_evolution_fire chief_animated map_theatre audience_dragonslayer_tunnel construction_fire repellent_drilling_iodine
Gangster Squad|Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart.|Crime_Drama_Action_Thriller|los angeles_gangster
Year One|When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.|Comedy_Adventure|temple_slavery_stone age_circumcision_hebrews_cavemen_prehistoric adventure_duringcreditsstinger_prehistoric times_prehistoric man
Invictus|Newly elected President Nelson Mandela knows his nation remains racially and economically divided in the wake of apartheid. Believing he can bring his people together through the universal language of sport, Mandela rallies South Africa's rugby team as they make their historic run to the 1995 Rugby World Cup Championship match.|Drama_History|stadium_south africa_apartheid_nelson mandela_sport_nation_rugby_president_racism_poverty_celebration_duringcreditsstinger
State of Play|Handsome, unflappable U.S. Congressman Stephen Collins is the future of his political party: an honorable appointee who serves as the chairman of a committee overseeing defense spending. All eyes are upon the rising star to be his party's contender for the upcoming presidential race. Until his research assistant/mistress is brutally murdered and buried secrets come tumbling out.|Action|corruption_assassination_detective_journalist_assassin_newspaper_congress_editor-in-chief_conspiracy of murder_politics_election campaign_government_murder_thriller_blog_reporter
Duplicity|Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.|Romance_Comedy_Crime|spy
My Favorite Martian|News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.|Comedy_Drama_Family_Science Fiction|alien_martian_based on tv series_fish out of water
The Sentinel|A secret service agent is framed as the mole in an assassination attempt on the president. He must clear his name and foil another assassination attempt while on the run from a relentless FBI agent.|Action_Thriller_Crime|usa president_agent
Planet 51|When Earth astronaut Capt. Chuck Baker arrives on Planet 51 -- a world reminiscent of American suburbia circa 1950 -- he tries to avoid capture, recover his spaceship and make it home safely, all with the help of an empathetic little green being.|Science Fiction_Animation_Family_Comedy_Adventure|flying saucer_alien life-form_spaceship_alien_alien planet_planet_duringcreditsstinger
Star Trek: Nemesis|En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.|Science Fiction_Action_Adventure_Thriller|clone_assassination_ambush_federation_starfleet_enterprise-e_romulus_android_senate_self sacrifice_telepathy_weapon_romulans_space opera
Intolerable Cruelty|A revenge-seeking gold digger marries a womanizing Beverly Hills lawyer with the intention of making a killing in the divorce.|Crime_Comedy_Romance|california_assassin_infidelity_fetish_hitman_tycoon_court_satire_lawyer_inheritance_divorce
Trouble with the Curve|Slowed by age and failing eyesight, crack baseball scout Gus Lobel takes his grown daughter along as he checks out the final prospect of his career. Along the way, the two renew their bond, and she catches the eye of a young player-turned-scout.|Drama_Romance|women_baseball_pitcher_home run_aging_sport_talent-scout_cigar smoking_poor eyesight_boston red sox_draft_motel room_baseball scout_failing eyesight_blurry vision_blurred sight
Edge of Darkness|As a seasoned homicide detective, Thomas Craven has seen the bleakest side of humanity. But nothing prepares him for the toughest investigation of his life: the search for his only daughter Emma's killer. Now, he is on a personal mission to uncover the disturbing secrets surrounding her murder, including corporate corruption, government collusion and Emma's own mysterious life.|Crime_Drama_Mystery_Thriller|murder_violence_death of daughter_homicide detective
The Relic|A researcher at Chicago's Natural History Museum returns from South America with some crates containing his findings. When the crates arrive at the museum without the owner there appears to be very little inside. However, police discover gruesome murders on the cargo ship that brought the crates to the US and then another murder in the museum itself.|Horror_Mystery_Thriller|chicago_based on novel_monster_museum_pile of dead bodies_god_dead body_anthropologist_indian tribe_amazon jungle
Analyze That|The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.|Comedy_Crime|prison_gold_therapist_gangster
Righteous Kill|Two veteran New York City detectives work to identify the possible connection between a recent murder and a case they believe they solved years ago; is there a serial killer on the loose, and did they perhaps put the wrong person behind bars?|Action_Crime_Drama_Thriller|revenge_murder_plot twist_dirty cop
Mercury Rising|"Renegade FBI agent Art Jeffries protects a nine-year-old autistic boy who has cracked the government's new ""unbreakable"" code."|Action_Crime_Drama_Thriller|assassin_loss of family_autism_fbi_bangkok_national security agency (nsa)_boy_child in peril_fbi agent_autistic savant
The Soloist|A Los Angeles journalist befriends a homeless Juilliard-trained musician, while looking for a new article for the paper.|Drama|newspaper_cello_musical_violin_los angeles
The Legend of Bagger Vance|World War I has left golfer Rannulph Junuh a poker-playing alcoholic, his perfect swing gone. Now, however, he needs to get it back to play in a tournament to save the financially ravaged golf course of a long-ago sweetheart. Help arrives in the form of mysterious caddy Bagger Vance.|Fantasy_Drama|competition_world war i_great depression_caddy_savannah
Almost Famous|Almost Famous is an autobiographical inspired film about a 15-year-old who is hired by Rolling Stone magazine to follow and interview a rock band during their tour. A film about growing up, first love, disappointment, and the life of a rock star.|Drama_Music|hotel room_san diego_drug addiction_stewardess_overdose_groupie_music journalist_black sabbath_rock_concert_swimming pool_based on true story_promiscuity_coming of age_on the road_domineering mother_reconciliation_semi autobiographical_innocence lost_bus trip_aspiring writer
Garfield: A Tail of Two Kitties|Garfield is back and this time Garfield and his canine sidekick Odie follows their owner, Jon Arbuckle, to England, the U.K. may never recover, as Garfield is mistaken for a look-alike, regal cat who has inherited a castle.|Animation_Comedy_Family|london england_cat_mistake in person_luxury_wretch_nobility_garfield
xXx: State of the Union|Ice Cube stars as Darius Stone, a thrill-seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert (played by Willem Dafoe).|Action_Adventure_Crime_Drama_Mystery_Thriller|washington d.c._helicopter_usa president_general_coup d'etat_military prison_coup_agent_insurgent_secretary of defense_potus
Priest|In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.|Action_Science Fiction_Fantasy_Thriller_Horror|vampire_crucifixion_post-apocalyptic_dystopia_vampire hunter_disobey_niece_dark hero
Sinbad: Legend of the Seven Seas|The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.|Family_Animation_Adventure|prince_water monster
Event Horizon|"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying."|Horror_Science Fiction_Mystery|space marine_nudity_nightmare_hallucination_cryogenics_space travel_black hole_insanity_delusion_crew_alternate dimension_evil spirit_hellgate_religion_explosion_violence_burning man_rescue team_flashback_supernatural power_trapped in space_distress signal_derelict ship
Dragonfly|A grieving doctor is being contacted by his late wife through his patients near death experiences.|Drama|pregnancy and birth_voice_dragonfly_car crash_jungle_hospital_doctor_humanitarian_spiritism
The Black Dahlia|Lee Blanchard and Bucky Bleichert are former boxers-turned-cops in 1940s Los Angeles and, when an aspiring young actress turns up dead, Blanchard and Bleichert must grapple with corruption, narcissism, stag films and family madness as they pursue the killer.|Drama|pornography_observer_los angeles_murder hunt
Flyboys|The adventures of the Lafayette Escadrille, young Americans who volunteered for the French military before the U.S. entered World War I, and became the country's first fighter pilots.|Action_Adventure_Drama_History_Romance_War|world war i_biplane
The Last Castle|A Court Martialed general rallies together 1200 inmates to rise against the system that put him away.|Action_Drama_Thriller|prison_general
Supernova|Set in the 22nd century, when a battered salvage ship sends out a distress signal, the seasoned crew of the rescue hospital ship Nova-17 responds. What they find is a black hole--that threatens to destroy both ships--and a mysterious survivor whose body quickly mutates into a monstrous and deadly form.|Horror_Science Fiction_Thriller|black people_starships_future_star_supernova_blast
Winter's Tale|A burglar falls for an heiress as she dies in his arms. When he learns that he has the gift of reincarnation, he sets out to save her.|Drama_Fantasy_Mystery_Romance|based on novel
The Mortal Instruments: City of Bones|In New York City, Clary Fray, a seemingly ordinary teenager, learns that she is descended from a line of Shadowhunters — half-angel warriors who protect humanity from evil forces. After her mother disappears, Clary joins forces with a group of Shadowhunters and enters Downworld, an alternate realm filled with demons, vampires, and a host of other creatures. Clary and her companions must find and protect an ancient cup that holds the key to her mother's future.|Action_Adventure_Drama_Mystery_Romance_Fantasy|angel_vampire_werewolf_warlock_downworlder_shadowhunter_demon hunter_based on young adult novel
Meet Dave|A crew of miniature aliens operate a spaceship that has a human form. While trying to save their planet, the aliens encounter a new problem, as their ship becomes smitten with an Earth woman.|Comedy_Science Fiction_Adventure_Family|new york_captain_starships_new love_earth_friendship_crew_car crash_space_alien_survival_planet_duringcreditsstinger
Dark Water|Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. She is currently in midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in her daughter's bedroom.|Drama_Horror_Thriller|based on novel_water_remake_teacher_divorce_apartment_ghost_manhattan, new york city
Edtv|Video store clerk Ed agrees to have his life filmed by a camera crew for a tv network.|Comedy|tv show_tv station_simulated reality _reality tv_tv star_tv ratings
Inkheart|The adventures of a father and his young daughter, in their search for a long lost book that will help reunite a missing, close relative.|Adventure_Family_Fantasy|book_fairy tale_eavesdropping_adventure_writer's block
The Spirit|Down these mean streets a man must come. A hero born, murdered, and born again. When a Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City, the Octopus who kills anyone unfortunate enough to see his face who has other plans. He's going to wipe out the entire city.|Action_Comedy_Thriller_Crime_Science Fiction|secret identity_robber_mask_frog_based on comic strip_back from the dead
Mortdecai|Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.|Comedy_Adventure|based on novel_painting_debt_art dealer_stolen painting
In the Name of the King: A Dungeon Siege Tale|A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son -- two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian.|Adventure_Fantasy_Action_Drama|fictional place_monster_loss of family_new love_hero_love of one's life_magic_fairy tale_villain_kingdom_enchantment_bad power_son_heir to the throne_motherly love_wizardry_revenge_royalty_family_based on video game_medieval
Beyond Borders|Beyond Borders is an epic tale of the turbulent romance between two star-crossed lovers set against the backdrop of the world's most dangerous hot spots. Academy Award winner Angelina Jolie stars as Sarah Jordan, an American living in London in 1984. She is married to Henry Bauford son of a wealthy British industrialist, when she encounters Nick Callahan a renegade doctor, whose impassioned plea for help to support his relief efforts in war-torn Africa moves her deeply. As a result, Sarah embarks upon a journey of discovery that leads to danger, heartbreak and romance in the far corners of the world.|Drama_Romance_Adventure_War|london england_cia_landmine_love of one's life_cambodia_ethiopia_chechnya_foreign aid
The Monkey King 2|Taking place 500 years after the Havoc in Heaven, the Tang Priest is appointed by Buddha to go to the West to fetch the sacred scriptures, only to accidentally free the Monkey King. With Lady White (Gong Li) aiming to break up the team assembled to defeat her, the Monkey King must fight in order to save his world!|Action_Adventure_Fantasy|monkey king
The Great Raid|As World War II rages, the elite Sixth Ranger Battalion is given a mission of heroic proportions: push 30 miles behind enemy lines and liberate over 500 American prisoners of war.|Action_History_War|based on novel_world war ii_prisoners of war_narration_archive footage_rescue mission_soldier_1940s_inspired by true events_fictionalized history
Deadpool|Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.|Action_Adventure_Comedy|anti hero_mercenary_marvel comic_superhero_based on comic book_breaking the fourth wall_aftercreditsstinger_duringcreditsstinger_self healing
Holy Man|Eddie Murphy stars as an over-the-top television evangelist who finds a way to turn television home shopping into a religious experience, and takes America by storm.|Drama_Comedy|salesclerk_television_tv ratings_guru_television producer
American Sniper|U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.|War_Action|sniper_biography_iraq_navy seal_u.s. soldier
Goosebumps|A teenager teams up with the daughter of young adult horror author R.L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.|Adventure_Horror_Comedy|based on novel_magic_fantasy_werewolf_family_ventriloquist dummy_book comes to life_3d
Just Like Heaven|Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Martinson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.|Comedy_Fantasy_Romance|coma_based on novel_workaholic_flirt_architect_romantic comedy_ghost_landscape architect
The Flintstones in Viva Rock Vegas|The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?|Science Fiction_Comedy_Family_Romance|waitress_marriage proposal_flirt_stone age_best friend_dinosaur
Rambo III|Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.|Action_Adventure_Thriller_War|competition_submachine gun_soviet union_liberation_russian_soviet troops_thailand_freedom fighter_afghanistan_war on freedom_machinegun_mujahid_reality show_western_japanese food_soap opera
Leatherheads|A light hearted comedy about the beginnings of Professional American Football. When a decorated war hero and college all star is tempted into playing professional football. Everyone see the chance to make some big money, but when a reporter digs up some dirt on the war hero... everyone could lose out.|Comedy_Romance_Drama|american football_sports team_stadium_hero_success_sponsorship_police_games_coach_woman reporter_the big game
The Ridiculous 6|"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers."|Comedy_Western|wild west
Did You Hear About the Morgans?|In New York City, an estranged couple who witness a murder are relocated to small-town Wyoming as part of a witness-protection program.|Comedy|witness protection_comedy_duringcreditsstinger
The Internship|Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.|Comedy|job interview_loss of job_intern_reference to google_new job_laid off_transamerica pyramid
Resident Evil: Afterlife|In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.|Action_Adventure_Horror_Science Fiction|post-apocalyptic_dystopia_undead_biohazard_evil corporation_resident evil_zombie_based on video game_duringcreditsstinger_3d
Red Tails|The story of the Tuskegee Airmen, the first African-American pilots to fly in a combat squadron during World War II.|Drama_Action_Adventure_History_War|world war ii_fighter pilot_fighter plane
The Devil's Advocate|A hotshot lawyer gets more than he bargained for when he learns his new boss is Lucifer himself.|Drama_Horror_Mystery_Thriller|child abuse_southern usa_obsession_subway_nudity_bible_seduction_hallucination_ambition_devil's son_marriage crisis_pact with the devil_crooked lawyer_evil spirit_satan_religion_lust_courtroom_temptation_law firm_manhattan, new york city_seven deadly sins_ethics_gainesville florida
That's My Boy|While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.|Comedy|deadbeat dad_cheating fiancée_teacher student sex_brother sister incest
DragonHeart|In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.|Fantasy|magic_kingdom_despot_immortality_village_forest_army_horror_partner_revenge_knight_battle_medieval_dragonheart
After the Sunset|"Two master thieves (Brosnan and Hayek) are finally retiring after one last succesful mission. Residing in their own tropical paradise, their old nemesis, FBI Agent Stan P. Lloyd shows up to make sure they really are retired. Docked in the port is an ocean liner called the ""Diamond Cruise"" and Stan is convinced that they're not really retired at all, and that this is the next set up."|Action_Comedy_Crime_Drama|bahamas_master thief_crook couple
Ghost Rider: Spirit of Vengeance|When the devil resurfaces with aims to take over the world in human form, Johnny Blaze reluctantly comes out of hiding to transform into the flame-spewing supernatural hero Ghost Rider -- and rescue a 10-year-old boy from an unsavory end.|Action_Fantasy_Thriller|monk_eastern europe_skeleton_biker_marvel comic_superhero_motorcycle_devil_dark hero_ghost rider
Captain Corelli's Mandolin|"When a Greek fisherman leaves to fight with the Greek army during WWII, his fiancee falls in love with the local Italian commander. The film is based on a novel about an Italian soldier's experiences during the Italian occupation of the Greek island of Cephalonia (Kefalonia), but Hollywood made it into a pure love story by removing much of the ""unpleasant"" stuff."|Drama_History_Romance|officer_greek island_mandolin_italian soldier_resistance fighter_greek history_italian army_allied forces
The Pacifier|Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains hidden in the kids' house.|Action_Comedy_Drama_Family_Thriller|bodybuilder_children_body guard_scientist_family_u.s. soldier_death of husband_male nanny
Walking Tall|A former U.S. soldier returns to his hometown to find it overrun by crime and corruption, which prompts him to clean house.|Adventure_Drama_Action_Thriller|casino_sheriff_home_violence_special forces_ex soldier
Forrest Gump|A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.|Comedy_Drama_Romance|vietnam veteran_hippie_mentally disabled_running_based on novel_vietnam_vietnam war_friendship_love_family relationships_bully_mother son relationship_military_hugging_shrimping_wounded soldier_flashback_park bench_amputee
Alvin and the Chipmunks|A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.|Comedy_Music_Family_Fantasy_Animation|pop_pop star_record producer_surprise_approach_forest_music_concert_friendship_performance_chipmunk_talking animal_songwriter_talking to animals_duringcreditsstinger
Meet the Parents|Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.|Comedy_Romance|cia_airport_cat_jew_orderly_airplane_father-in-law_epistaxis_daughter_lost baggage_urn_pavilion_volleyball_hospital_wedding
Pocahontas|History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.|Adventure_Animation_Drama_Family|culture clash_settler_forbidden love_colony_musical_gold rush_princess_romance_native american_animation_virginia_star crossed lovers_reference to pizarro_jamestown virginia_pug dog_cross cultural relationship_musket_animate tree_indian chief_based on folk tale_17th century_shamanism_songs_indians vs. settlers_animal sidekick_powhatan_land claim
Superman|Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.|Action_Adventure_Fantasy_Science Fiction|saving the world_journalist_dc comics_crime fighter_nuclear missile_galaxy_superhero_based on comic book_criminal_sabotage_north pole_midwest_kryptonite_super powers_superhuman strength_aftercreditsstinger_save the day
The Nutty Professor|Eddie Murphy stars as shy Dr. Sherman Klump, a kind, brilliant, 'calorifically challenged' genetic professor. When beautiful Carla Purty joins the university faculty, Sherman grows desperate to whittle his 400-pound frame down to size and win her heart. So, with one swig of his experimental fat-reducing serum, Sherman becomes 'Buddy Love', a fast-talking, pumped-up , plumped down Don Juan.|Fantasy_Comedy_Romance_Science Fiction|overweight_overweight man_duringcreditsstinger
Hitch|Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.|Comedy_Drama_Romance|speed date_romantic comedy_dating
George of the Jungle|Baby George got into a plane crash in a jungle, stayed alive and was adopted by a wise ape. Ursula Stanhope, US noble woman is saved from death on safari by grown-up George, and he takes her to jungle to live with him. He slowly learns a rules of human relationships, while Ursula's lover Lyle is looking for her and the one who took her. After they are found, Ursula takes George to the USA.|Adventure_Comedy_Family_Romance|africa_san francisco_gorilla_lion_feral child_jungle
American Wedding|With high school a distant memory, Jim and Michelle are getting married -- and in a hurry, since Jim's grandmother is sick and wants to see him walk down the aisle -- prompting Stifler to throw the ultimate bachelor party. And Jim's dad is reliable as ever, doling out advice no one wants to hear.|Comedy_Romance|handcuffs_sister sister relationship_spanner_blow job_stag night_wedding
Captain Phillips|The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.|Action_Drama_Thriller|ship_hijacking_somalia_fisherman_blood_poverty_pirate_terrorism_commando_hijack_cargo ship_ship captain_ship hijacking_somali_commando unit
Date Night|Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves – and now a number of unsavoury characters want Phil and Claire killed.|Comedy|date_corruption_taxi_expensive restaurant_wife husband relationship_gun_boat_taxi driver_document_restaurant_roof_married couple_politician_stripper_shooting_thief_car crash_stealing_mistaken identity_police corruption_aftercreditsstinger_duringcreditsstinger
Casper|"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away."|Fantasy_Comedy_Family|halloween_friendship_supernatural_afterlife_friends_danger_ghost_disorder_young heroes_imaginary_supernatural ability_mischievous children
